           1  0.60000000000000009     
           2  0.94075612517879170     
           4  0.66072478977700821     
           8  0.40393553498105017     
          16  0.22845578405076825     
          32  0.12263421574698960     
          64   6.3729380196713134E-002
         128   3.2514370433843642E-002
         256   1.6426021104816401E-002
         512   8.2560622688294030E-003
        1024   4.1389020913605336E-003
        2048   2.0721824607056066E-003
        4096   1.0367758044968888E-003
        8192   5.1855926151944578E-004
       16384   2.5932249758677754E-004
       32768   1.2967196887972654E-004
       65536   6.4838664883526591E-005
      131072   3.2420002606405751E-005
      262144   1.6210168855134355E-005
      524288   8.1051263123178485E-006
     1048576   4.0525736180814547E-006
     2097152   2.0262894388318240E-006
     4194304   1.0131453610154164E-006
     8388608   5.0657285171947702E-007
    16777216   2.5328646016585724E-007
    33554432   1.2664323566377611E-007
    67108864   6.3321612908929071E-008
